"","bike_model","bike_price"
"1","COUNT SOLO","76900 "
"2","PSYCHO PATH","199900 "
"3","THRILL HILL","274900  "
"4","GROUND CONTROL","189900 "
"5","ROOT MILLER","219900 "
"6","SOUL FIRE","234900 "
"7","THE BRUCE","97900 "
